DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
True,0.001,50,1.5,1.5,5,0.7352,0.7393,0.7352,0.7234,241.51,0.42,a
True,0.001,50,1.5,1.5,10,0.7312,0.7342,0.7312,0.7133,242.09,0.42,a
False,0.001,100,N/A,N/A,N/A,0.9518,0.9519,0.9518,0.9518,50.75,Sem privacidade diferencial,a
True,0.001,100,0.5,0.5,5,0.3501,0.3899,0.3501,0.2724,128.45,9.62,a
True,0.001,100,0.5,0.5,10,0.2756,0.1987,0.2756,0.1799,128.21,9.62,a
True,0.001,100,0.5,1.0,5,0.3222,0.5069,0.3222,0.2731,128.58,1.15,a
True,0.001,100,0.5,1.0,10,0.2060,0.2936,0.2060,0.1450,128.77,1.15,a
True,0.001,100,0.5,1.5,5,0.3239,0.2592,0.3239,0.2206,128.48,0.61,a
True,0.001,100,0.5,1.5,10,0.2910,0.3808,0.2910,0.2035,128.65,0.61,a
True,0.001,100,1.0,0.5,5,0.4442,0.4779,0.4442,0.3558,128.80,9.62,a
True,0.001,100,1.0,0.5,10,0.4115,0.4037,0.4115,0.3084,128.70,9.62,a
True,0.001,100,1.0,1.0,5,0.4570,0.5211,0.4570,0.3933,128.58,1.15,a
True,0.001,100,1.0,1.0,10,0.6267,0.6896,0.6267,0.5959,128.65,1.15,a
True,0.001,100,1.0,1.5,5,0.5298,0.5566,0.5298,0.4939,128.22,0.61,a
True,0.001,100,1.0,1.5,10,0.4738,0.4992,0.4738,0.4167,128.12,0.61,a
True,0.001,100,1.5,0.5,5,0.6386,0.6525,0.6386,0.5934,127.90,9.62,a
True,0.001,100,1.5,0.5,10,0.6174,0.6607,0.6174,0.5551,128.04,9.62,a
True,0.001,100,1.5,1.0,5,0.6394,0.6906,0.6394,0.5909,128.41,1.15,a
True,0.001,100,1.5,1.0,10,0.6267,0.6602,0.6267,0.5967,128.11,1.15,a
True,0.001,100,1.5,1.5,5,0.6315,0.6826,0.6315,0.5958,128.13,0.61,a
True,0.001,100,1.5,1.5,10,0.6358,0.6569,0.6358,0.6035,128.53,0.61,a
False,0.01,25,N/A,N/A,N/A,0.9953,0.9953,0.9953,0.9953,360.42,Sem privacidade diferencial,b
True,0.01,25,0.5,0.5,5,0.9627,0.9628,0.9627,0.9627,1407.01,5.06,b
True,0.01,25,0.5,1.0,5,0.9402,0.9405,0.9402,0.9399,1409.20,0.53,b
True,0.01,25,0.5,1.5,5,0.9052,0.9063,0.9052,0.9043,1404.54,0.29,b
True,0.01,25,1.0,0.5,5,0.9613,0.9614,0.9613,0.9613,1406.95,5.06,b
True,0.01,25,1.0,1.0,5,0.9359,0.9364,0.9359,0.9356,1407.89,0.53,b
