DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
True,0.005,100,1.5,1.5,5,0.9297,0.9307,0.9297,0.9294,3086.31,0.61,b
True,0.005,100,1.5,1.5,10,0.9225,0.9236,0.9225,0.9217,3087.15,0.61,b
False,0.001,25,N/A,N/A,N/A,0.9941,0.9941,0.9941,0.9941,1385.28,Sem privacidade diferencial,b
True,0.001,25,0.5,0.5,5,0.7459,0.7710,0.7459,0.7226,3840.82,5.06,b
True,0.001,25,0.5,1.0,5,0.7439,0.7840,0.7439,0.7144,3855.23,0.53,b
True,0.001,25,0.5,1.5,5,0.7298,0.7672,0.7298,0.7008,3849.49,0.29,b
True,0.001,25,1.0,0.5,5,0.8434,0.8633,0.8434,0.8297,3866.31,5.06,b
True,0.001,25,1.0,1.0,5,0.8119,0.8292,0.8119,0.7958,3854.09,0.53,b
True,0.001,25,1.0,1.5,5,0.8013,0.8213,0.8013,0.7884,3841.36,0.29,b
True,0.001,25,1.5,0.5,5,0.9049,0.9075,0.9049,0.9035,3849.70,5.06,b
True,0.001,25,1.5,1.0,5,0.8544,0.8730,0.8544,0.8481,3861.74,0.53,b
True,0.001,25,1.5,1.5,5,0.8796,0.8832,0.8796,0.8758,3852.92,0.29,b
False,0.001,50,N/A,N/A,N/A,0.9921,0.9921,0.9921,0.9921,1249.68,Sem privacidade diferencial,b
True,0.001,50,0.5,0.5,5,0.6669,0.7346,0.6669,0.6314,3290.20,6.95,b
True,0.001,50,0.5,0.5,10,0.7059,0.7479,0.7059,0.6774,3291.75,6.95,b
True,0.001,50,0.5,1.0,5,0.6926,0.7119,0.6926,0.6660,3288.71,0.78,b
True,0.001,50,0.5,1.0,10,0.7142,0.7435,0.7142,0.7080,3291.48,0.78,b
True,0.001,50,0.5,1.5,5,0.6665,0.7203,0.6665,0.6351,3296.95,0.42,b
