DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
TRUE,"0,005",100,"1,5","0,5",5,"0,8363","0,8652","0,8363","0,8354","266,48",Sem DP,A
TRUE,"0,005",100,"1,5","0,5",10,"0,8489","0,8589","0,8489","0,8466","441,98",Epsilon = 197.798,A
FALSE,"0,005",100,"1,5",1,None,"0,9897","0,9898","0,9897","0,9897","141,57",Epsilon = 197.798,A
TRUE,"0,005",100,"1,5",1,5,"0,7619","0,7726","0,7619","0,7559","265,54",Sem DP,A
TRUE,"0,005",100,"1,5",1,10,"0,8443","0,8535","0,8443","0,843","442,64",Epsilon = 11.105,A
FALSE,"0,005",100,"1,5","1,5",None,"0,9882","0,9883","0,9882","0,9882","141,57",Epsilon = 11.105,A
TRUE,"0,005",100,"1,5","1,5",5,"0,558","0,5687","0,558","0,5483","265,22",Sem DP,A
TRUE,"0,005",100,"1,5","1,5",10,"0,7937","0,801","0,7937","0,7945","444,13",Epsilon = 2.618,A
FALSE,"0,001",25,"0,5","0,5",None,"0,9806","0,9807","0,9806","0,9806","141,32",Epsilon = 2.618,A
TRUE,"0,001",25,"0,5","0,5",5,"0,8634","0,8641","0,8634","0,863","440,13",Sem DP,A
FALSE,"0,001",25,"0,5",1,None,"0,9804","0,9805","0,9804","0,9804","141,81",Epsilon = 143.297,A
TRUE,"0,001",25,"0,5",1,5,"0,8956","0,8959","0,8956","0,8954","434,19",Sem DP,A
FALSE,"0,001",25,"0,5","1,5",None,"0,9833","0,9834","0,9833","0,9833","141,75",Epsilon = 6.144,A
TRUE,"0,001",25,"0,5","1,5",5,"0,8649","0,8655","0,8649","0,8647","437,09",Sem DP,A
FALSE,"0,001",25,1,"0,5",None,"0,9793","0,9793","0,9793","0,9793","141,5",Epsilon = 1.511,A
TRUE,"0,001",25,1,"0,5",5,"0,8871","0,8872","0,8871","0,8866","434,26",Sem DP,A
FALSE,"0,001",25,1,1,None,"0,9781","0,9782","0,9781","0,9781","148,27",Epsilon = 143.297,A
TRUE,"0,001",25,1,1,5,"0,8673","0,8701","0,8673","0,867","445,64",Sem DP,A
FALSE,"0,001",25,1,"1,5",None,"0,9777","0,9778","0,9777","0,9777","146,7",Epsilon = 6.144,A
TRUE,"0,001",25,1,"1,5",5,"0,8781","0,8808","0,8781","0,8783","442,9",Sem DP,A
FALSE,"0,001",25,"1,5","0,5",None,"0,9822","0,9823","0,9822","0,9822","146,37",Epsilon = 1.511,A
TRUE,"0,001",25,"1,5","0,5",5,"0,8162","0,8244","0,8162","0,8164","437,66",Sem DP,A
FALSE,"0,001",25,"1,5",1,None,"0,9782","0,9782","0,9782","0,9782","145,56",Epsilon = 143.297,A
TRUE,"0,001",25,"1,5",1,5,"0,7974","0,8111","0,7974","0,7938","433,28",Sem DP,A
FALSE,"0,001",25,"1,5","1,5",None,"0,9817","0,9818","0,9817","0,9817","145,02",Epsilon = 6.144,A
TRUE,"0,001",25,"1,5","1,5",5,"0,6288","0,6517","0,6288","0,6242","434,08",Sem DP,A
FALSE,"0,001",50,"0,5","0,5",None,"0,9798","0,9798","0,9798","0,9798","144,43",Epsilon = 1.511,A
TRUE,"0,001",50,"0,5","0,5",5,"0,8433","0,8441","0,8433","0,8431","319,18",Sem DP,A
TRUE,"0,001",50,"0,5","0,5",10,"0,8299","0,8289","0,8299","0,828","486,11",Epsilon = 167.930,A
FALSE,"0,001",50,"0,5",1,None,"0,9802","0,9804","0,9802","0,9802","142,42",Epsilon = 167.930,A
TRUE,"0,001",50,"0,5",1,5,"0,8662","0,8667","0,8662","0,8661","316,63",Sem DP,A
TRUE,"0,001",50,"0,5",1,10,"0,8277","0,8264","0,8277","0,8253","485,06",Epsilon = 8.181,A
FALSE,"0,001",50,"0,5","1,5",None,"0,9767","0,9768","0,9767","0,9767","142,4",Epsilon = 8.181,A
TRUE,"0,001",50,"0,5","1,5",5,"0,8744","0,8747","0,8744","0,8742","317,59",Sem DP,A
TRUE,"0,001",50,"0,5","1,5",10,"0,8458","0,8448","0,8458","0,8448","483,91",Epsilon = 1.932,A
FALSE,"0,001",50,1,"0,5",None,"0,9814","0,9814","0,9814","0,9814","142,02",Epsilon = 1.932,A
TRUE,"0,001",50,1,"0,5",5,"0,9006","0,9005","0,9006","0,9004","317,72",Sem DP,A
TRUE,"0,001",50,1,"0,5",10,"0,8956","0,8955","0,8956","0,8954","485,79",Epsilon = 167.930,A
FALSE,"0,001",50,1,1,None,"0,9793","0,9794","0,9793","0,9793","141,97",Epsilon = 167.930,A
TRUE,"0,001",50,1,1,5,"0,87","0,8701","0,87","0,8698","317,36",Sem DP,A
TRUE,"0,001",50,1,1,10,"0,8724","0,8722","0,8724","0,8721","484,84",Epsilon = 8.181,A
FALSE,"0,001",50,1,"1,5",None,"0,9793","0,9794","0,9793","0,9793","142,75",Epsilon = 8.181,A
TRUE,"0,001",50,1,"1,5",5,"0,9043","0,9049","0,9043","0,9042","316,83",Sem DP,A
TRUE,"0,001",50,1,"1,5",10,"0,9015","0,9011","0,9015","0,9011","484,32",Epsilon = 1.932,A
FALSE,"0,001",50,"1,5","0,5",None,"0,9794","0,9795","0,9794","0,9794","142,59",Epsilon = 1.932,A
TRUE,"0,001",50,"1,5","0,5",5,"0,911","0,9117","0,911","0,911","318,54",Sem DP,A
TRUE,"0,001",50,"1,5","0,5",10,"0,8598","0,8595","0,8598","0,8593","480,73",Epsilon = 167.930,A
FALSE,"0,001",50,"1,5",1,None,"0,9809","0,9809","0,9809","0,9809","142,5",Epsilon = 167.930,A
TRUE,"0,001",50,"1,5",1,5,"0,8954","0,8955","0,8954","0,8952","317,48",Sem DP,A
TRUE,"0,001",50,"1,5",1,10,"0,8659","0,8668","0,8659","0,8655","492,56",Epsilon = 8.181,A
FALSE,"0,001",50,"1,5","1,5",None,"0,9798","0,9798","0,9798","0,9798","146,29",Epsilon = 8.181,A
TRUE,"0,001",50,"1,5","1,5",5,"0,915","0,9151","0,915","0,9148","319,41",Sem DP,A
TRUE,"0,001",50,"1,5","1,5",10,"0,8982","0,8984","0,8982","0,8982","496,65",Epsilon = 1.932,A
FALSE,"0,001",100,"0,5","0,5",None,"0,9815","0,9816","0,9815","0,9815","144,9",Epsilon = 1.932,A
TRUE,"0,001",100,"0,5","0,5",5,"0,8087","0,8099","0,8087","0,8069","264,04",Sem DP,A
TRUE,"0,001",100,"0,5","0,5",10,"0,7965","0,8001","0,7965","0,7929",443,Epsilon = 197.798,A
FALSE,"0,001",100,"0,5",1,None,"0,9805","0,9806","0,9805","0,9805","144,26",Epsilon = 197.798,A
TRUE,"0,001",100,"0,5",1,5,"0,8387","0,8382","0,8387","0,8371","265,89",Sem DP,A
TRUE,"0,001",100,"0,5",1,10,"0,738","0,7313","0,738","0,7263","443,54",Epsilon = 11.105,A
FALSE,"0,001",100,"0,5","1,5",None,"0,9815","0,9816","0,9815","0,9815","143,35",Epsilon = 11.105,A
TRUE,"0,001",100,"0,5","1,5",5,"0,8179","0,8163","0,8179","0,815","266,59",Sem DP,A
TRUE,"0,001",100,"0,5","1,5",10,"0,8105","0,8113","0,8105","0,8056","443,97",Epsilon = 2.618,A
FALSE,"0,001",100,1,"0,5",None,"0,9792","0,9793","0,9792","0,9792","143,79",Epsilon = 2.618,A
TRUE,"0,001",100,1,"0,5",5,"0,8655","0,8657","0,8655","0,8652","264,63",Sem DP,A
TRUE,"0,001",100,1,"0,5",10,"0,8495","0,8496","0,8495","0,8489","452,97",Epsilon = 197.798,A
FALSE,"0,001",100,1,1,None,"0,9808","0,9808","0,9808","0,9808","142,61",Epsilon = 197.798,A
TRUE,"0,001",100,1,1,5,"0,8943","0,8946","0,8943","0,8941","264,92",Sem DP,A
TRUE,"0,001",100,1,1,10,"0,8706","0,8699","0,8706","0,87","442,12",Epsilon = 11.105,A
FALSE,"0,001",100,1,"1,5",None,"0,9813","0,9814","0,9813","0,9813","142,48",Epsilon = 11.105,A
TRUE,"0,001",100,1,"1,5",5,"0,8849","0,8854","0,8849","0,8848","265,12",Sem DP,A
TRUE,"0,001",100,1,"1,5",10,"0,866","0,8657","0,866","0,8654","442,57",Epsilon = 2.618,A
FALSE,"0,001",100,"1,5","0,5",None,"0,9802","0,9803","0,9802","0,9802","143,38",Epsilon = 2.618,A
TRUE,"0,001",100,"1,5","0,5",5,"0,9278","0,9279","0,9278","0,9277","267,9",Sem DP,A
TRUE,"0,001",100,"1,5","0,5",10,"0,8996","0,8999","0,8996","0,8994","441,3",Epsilon = 197.798,A
FALSE,"0,001",100,"1,5",1,None,"0,9792","0,9793","0,9792","0,9792","143,13",Epsilon = 197.798,A
TRUE,"0,001",100,"1,5",1,5,"0,8922","0,8923","0,8922","0,8921","266,21",Sem DP,A
TRUE,"0,001",100,"1,5",1,10,"0,876","0,8755","0,876","0,8755","439,17",Epsilon = 11.105,A
FALSE,"0,001",100,"1,5","1,5",None,"0,9815","0,9815","0,9815","0,9815","142,96",Epsilon = 11.105,A
TRUE,"0,001",100,"1,5","1,5",5,"0,8799","0,88","0,8799","0,8797","265,88",Sem DP,A
TRUE,"0,001",100,"1,5","1,5",10,"0,886","0,8865","0,886","0,8858","441,42",Epsilon = 2.618,A
FALSE,"0,01",25,"0,5","0,5",None,"0,9949","0,9949","0,9949","0,9949","861,63",Epsilon = 2.618,B
TRUE,"0,01",25,"0,5","0,5",5,"0,9368","0,9375","0,9368","0,9366","3881,61",Sem DP,B
FALSE,"0,01",25,"0,5",1,None,"0,9951","0,9951","0,9951","0,9951","856,71",Epsilon = 143.297,B
TRUE,"0,01",25,"0,5",1,5,"0,5203","0,5589","0,5203","0,5076","3902,54",Sem DP,B
FALSE,"0,01",25,"0,5","1,5",None,"0,9957","0,9957","0,9957","0,9957","861,57",Epsilon = 6.144,B
TRUE,"0,01",25,"0,5","1,5",5,"0,3194","0,3307","0,3194","0,3099","3900,09",Sem DP,B
FALSE,"0,01",25,1,"0,5",None,"0,9947","0,9947","0,9947","0,9947","862,13",Epsilon = 1.511,B
TRUE,"0,01",25,1,"0,5",5,"0,9184","0,9201","0,9184","0,9181","3907,84",Sem DP,B
FALSE,"0,01",25,1,1,None,"0,996","0,996","0,996","0,996","891,06",Epsilon = 143.297,B
TRUE,"0,01",25,1,1,5,"0,3525","0,3993","0,3525","0,2978","3921,2",Sem DP,B
FALSE,"0,01",25,1,"1,5",None,"0,9954","0,9954","0,9954","0,9954","871,29",Epsilon = 6.144,B
TRUE,"0,01",25,1,"1,5",5,"0,2073","0,2311","0,2073","0,1509","3921,32",Sem DP,B
FALSE,"0,01",25,"1,5","0,5",None,"0,9951","0,9951","0,9951","0,9951","869,37",Epsilon = 1.511,B
TRUE,"0,01",25,"1,5","0,5",5,"0,9141","0,9149","0,9141","0,9136","3877,83",Sem DP,B
FALSE,"0,01",25,"1,5",1,None,"0,9951","0,9951","0,9951","0,9951","851,38",Epsilon = 143.297,B
TRUE,"0,01",25,"1,5",1,5,"0,5728","0,6545","0,5728","0,5525","3883,39",Sem DP,B
FALSE,"0,01",25,"1,5","1,5",None,"0,9952","0,9952","0,9952","0,9952","866,86",Epsilon = 6.144,B
TRUE,"0,01",25,"1,5","1,5",5,"0,1599","0,1918","0,1599","0,0976","3906,47",Sem DP,B
FALSE,"0,01",50,"0,5","0,5",None,"0,996","0,996","0,996","0,996","862,56",Epsilon = 1.511,B
TRUE,"0,01",50,"0,5","0,5",5,"0,9442","0,9443","0,9442","0,944","3643,95",Sem DP,B
TRUE,"0,01",50,"0,5","0,5",10,"0,9543","0,9545","0,9543","0,9543","6785,36",Epsilon = 167.930,B
FALSE,"0,01",50,"0,5",1,None,"0,9951","0,9951","0,9951","0,9951","855,21",Epsilon = 167.930,B
TRUE,"0,01",50,"0,5",1,5,"0,6363","0,683","0,6363","0,6324","3640,39",Sem DP,B
